name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Gary Cooper,1901.0,1901-05-07,"Helena, Mt",White,Roman Catholic,Straight,1942.0,Best Actor,Sergeant York,41.0
Melvyn Douglas,1901.0,1901-04-05,"Macon, Ga",White,Jewish,Straight,1964.0,Best Supporting Actor,Hud,63.0
Melvyn Douglas,1901.0,1901-04-05,"Macon, Ga",White,Jewish,Straight,1980.0,Best Supporting Actor,Being There,79.0
John Houseman,1902.0,1902-09-22,"Bucharest, Romania",White,Unknown,Straight,1974.0,Best Supporting Actor,The Paper Chase,72.0
Norma Shearer,1902.0,1902-08-10,"Montreal, Quebec, Canada",White,Unknown,Straight,1930.0,Best Actress,The Divorcee,28.0
William Wyler,1902.0,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,Unknown,Straight,1947.0,Best Director,The Best Years of Our Lives,45.0
William Wyler,1902.0,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,Unknown,Straight,1960.0,Best Director,Ben-Hur,58.0
William Wyler,1902.0,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,Unknown,Straight,1943.0,Best Director,Mrs. Miniver,41.0
Dean Jagger,1903.0,1903-11-07,"Lima, Oh",White,Unknown,Straight,1950.0,Best Supporting Actor,Twelve O'Clock High,47.0
Claudette Colbert,1903.0,1903-09-13,"Paris, France",White,Unknown,Straight,1935.0,Best Actress,It Happened One Night,32.0
Bing Crosby,1903.0,1903-05-03,"Tacoma, Wa",White,Roman Catholic,Straight,1945.0,Best Actor,Going My Way,42.0
Anne Revere,1903.0,1903-06-25,New York City,White,Unknown,Straight,1946.0,Best Supporting Actress,National Velvet,43.0
Vincente Minnelli,1903.0,1903-02-28,"Chicago, Il",White,Unknown,Bisexual,1959.0,Best Director,Gigi,56.0
Greer Garson,1904.0,1904-09-29,"London, England",White,Unknown,Straight,1942.0,Best Actress,Mrs. Miniver,38.0
John Gielgud,1904.0,1904-04-14,"London, England",White,Unknown,Gay,1982.0,Best Supporting Actor,Arthur,78.0
Don Ameche,1904.0,1904-05-31,"Kenosha, Wi",White,Roman Catholic,Straight,1986.0,Best Supporting Actor,Cocoon,82.0
George Stevens,1904.0,1904-12-18,"Oakland, Ca",White,Unknown,Straight,1952.0,Best Director,A Place in the Sun,48.0
George Stevens,1904.0,1904-12-18,"Oakland, Ca",White,Unknown,Straight,1957.0,Best Director,Giant,53.0
Henry Fonda,1905.0,1905-05-16,"Grand Island, Ne",White,Unknown,Straight,1982.0,Best Actor,On Golden Pond,77.0
Robert Donat,1905.0,1905-03-18,"Withington, Manchester, England",White,Unknown,Straight,1940.0,Best Actor,Goodbye Mr. Chips,35.0
Joan Crawford,1905.0,1905-03-23,"San Antonio, Tx",White,Christian Science,Bisexual,1946.0,Best Actress,Mildred Pierce,41.0
Janet Gaynor,1906.0,1906-10-06,"Philadelphia, Pa",White,Unknown,Straight,1929.0,Best Actress,7th Heaven,23.0
John Huston,1906.0,1906-08-05,"Nevada, Mo",White,Unknown,Straight,1949.0,Best Director,The Treasure of the Sierra Madre,43.0
George Sanders,1906.0,1906-07-03,"St. Petersburg, Russia",White,Unknown,Straight,1951.0,Best Supporting Actor,All About Eve,45.0
Carol Reed,1906.0,1906-12-30,"London, England",White,Unknown,Straight,1969.0,Best Director,Oliver!,63.0
Mary Astor,1906.0,1906-05-03,"Quincy, Il",White,Roman Catholic,Straight,1942.0,Best Supporting Actress,The Great Lie,36.0
Billy Wilder,1906.0,1906-06-22,"Sucha, Galicia, Austria",White,Jewish,Straight,1946.0,Best Director,The Lost Weekend,40.0
Billy Wilder,1906.0,1906-06-22,"Sucha, Galicia, Austria",White,Jewish,Straight,1961.0,Best Director,The Apartment,55.0
Ray Milland,1907.0,1907-01-03,"Neath, Wales",White,Unknown,Straight,1946.0,Best Actor,The Lost Weekend,39.0
Jack Albertson,1907.0,1907-06-16,"Malden, Ma",White,Unknown,Unknown,1969.0,Best Supporting Actor,The Subject Was Roses,62.0
Peggy Ashcroft,1907.0,1907-12-22,"Croydon, Surrey, England",White,Agnostic,Straight,1985.0,Best Supporting Actress,A Passage to India,78.0
John Wayne,1907.0,1907-05-26,"Winterset, Ia",White,Roman Catholic,Straight,1970.0,Best Actor,True Grit,63.0
Laurence Olivier,1907.0,1907-05-22,"Dorking, Surrey, England",White,Unknown,Bisexual,1949.0,Best Actor,Hamlet,42.0
Fred Zinnemann,1907.0,1907-04-29,"Vienna, Austria",White,Jewish,Straight,1967.0,Best Director,A Man for All Seasons,60.0
Fred Zinnemann,1907.0,1907-04-29,"Vienna, Austria",White,Jewish,Straight,1954.0,Best Director,From Here to Eternity,47.0
Katharine Hepburn,1907.0,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1969.0,Best Actress,The Lion in Winter,62.0
Katharine Hepburn,1907.0,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1982.0,Best Actress,On Golden Pond,75.0
Katharine Hepburn,1907.0,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1968.0,Best Actress,Guess Who's Coming to Dinner,61.0
Katharine Hepburn,1907.0,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1934.0,Best Actress,Morning Glory,27.0
Rex Harrison,1908.0,1908-03-05,"Huyton, Lancashire, England",White,Unknown,Straight,1965.0,Best Actor,My Fair Lady,57.0
Anna Magnani,1908.0,1908-03-07,"Rome, Italy",White,Unknown,Straight,1956.0,Best Actress,The Rose Tattoo,48.0
Jimmy Stewart,1908.0,1908-05-20,"Indiana, Pa",White,Presbyterian,Straight,1941.0,Best Actor,The Philadelphia Story,33.0
John Mills,1908.0,1908-02-22,"Felixstowe, Suffolk, England",White,Unknown,Straight,1971.0,Best Supporting Actor,Ryan's Daughter,63.0
